AnimalID,LitterRef,Group,DateOfBirth,Sex,Treatment,Outcome,Time,Mnths,LitterSize,Mat.Birthdate,Mat.Age,MAMnths,Mat.Litter,Mother,Sur30,GroupSize,TunnelSize,M,Density,Mat_Col,Pat_Col,Date,Weight,Age,Amnths
GEM003,563,Geelvink,23/02/2020,M,NB,NA,1468,48.5,3,14/06/2014,2080,68.8,1,4,1,2,S,4,0.5,G11,Bennett,03/04/2020,27,41,1.4
KBM002,557,Kori,14/02/2020,M,NB,Death,1118,37,4,03/03/2017,1078,35.6,1,9,1,2,S,4,0.5,Cousteau,Aristotle,03/04/2020,30,50,1.7
TNF003,560,Tinktinkie,17/02/2020,F,IB,Death,1435,47.4,6,05/10/2017,865,28.6,1,14,1,2,S,4,0.5,Mandela,Mandela,03/04/2020,33,47,1.6
TLF005,574,Tarentaal,30/03/2020,F,IB,NA,1432,47.3,5,27/01/2016,1524,50.4,2,13,1,2,S,4,0.5,Tesla,Tesla,09/04/2020,12,11,0.4
GEF001,563,Geelvink,23/02/2020,F,NB,NA,1468,48.5,3,14/06/2014,2080,68.8,1,4,1,2,S,4,0.5,G11,Bennett,10/04/2020,33,48,1.6
GEM003,563,Geelvink,23/02/2020,M,NB,NA,1468,48.5,3,14/06/2014,2080,68.8,1,4,1,2,S,4,0.5,G11,Bennett,10/04/2020,30,48,1.6
KBM002,557,Kori,14/02/2020,M,NB,Death,1118,37,4,03/03/2017,1078,35.6,1,9,1,2,S,4,0.5,Cousteau,Aristotle,10/04/2020,34,57,1.9
TNF003,560,Tinktinkie,17/02/2020,F,IB,Death,1435,47.4,6,05/10/2017,865,28.6,1,14,1,2,S,4,0.5,Mandela,Mandela,10/04/2020,39,54,1.8
BAM001,573,Bateleur,30/03/2020,M,IB,Death,1332,44,3,28/04/2017,1067,35.3,1,1,1,2,S,4,0.5,Tesla,Tesla,11/04/2020,17,13,0.4
TLF005,574,Tarentaal,30/03/2020,F,IB,NA,1432,47.3,5,27/01/2016,1524,50.4,2,13,1,2,S,4,0.5,Tesla,Tesla,11/04/2020,13,13,0.4
BAM001,573,Bateleur,30/03/2020,M,IB,Death,1332,44,3,28/04/2017,1067,35.3,1,1,1,2,S,4,0.5,Tesla,Tesla,14/04/2020,18,16,0.5
TLF005,574,Tarentaal,30/03/2020,F,IB,NA,1432,47.3,5,27/01/2016,1524,50.4,2,13,1,2,S,4,0.5,Tesla,Tesla,14/04/2020,14,16,0.5
TLF007,574,Tarentaal,30/03/2020,F,IB,NA,1432,47.3,5,27/01/2016,1524,50.4,2,13,1,2,S,4,0.5,Tesla,Tesla,14/04/2020,15,16,0.5
BAM001,573,Bateleur,30/03/2020,M,IB,Death,1332,44,3,28/04/2017,1067,35.3,1,1,1,2,S,4,0.5,Tesla,Tesla,17/04/2020,20,19,0.6
GEF001,563,Geelvink,23/02/2020,F,NB,NA,1468,48.5,3,14/06/2014,2080,68.8,1,4,1,2,S,4,0.5,G11,Bennett,17/04/2020,37,55,1.8
GEM003,563,Geelvink,23/02/2020,M,NB,NA,1468,48.5,3,14/06/2014,2080,68.8,1,4,1,2,S,4,0.5,G11,Bennett,17/04/2020,35,55,1.8
KBM002,557,Kori,14/02/2020,M,NB,Death,1118,37,4,03/03/2017,1078,35.6,1,9,1,2,S,4,0.5,Cousteau,Aristotle,17/04/2020,39,64,2.1
TLF005,574,Tarentaal,30/03/2020,F,IB,NA,1432,47.3,5,27/01/2016,1524,50.4,2,13,1,2,S,4,0.5,Tesla,Tesla,17/04/2020,15,19,0.6
TLF007,574,Tarentaal,30/03/2020,F,IB,NA,1432,47.3,5,27/01/2016,1524,50.4,2,13,1,2,S,4,0.5,Tesla,Tesla,17/04/2020,17,19,0.6
TNF003,560,Tinktinkie,17/02/2020,F,IB,Death,1435,47.4,6,05/10/2017,865,28.6,1,14,1,2,S,4,0.5,Mandela,Mandela,17/04/2020,39,61,2
TLF005,574,Tarentaal,30/03/2020,F,IB,NA,1432,47.3,5,27/01/2016,1524,50.4,2,13,1,2,S,4,0.5,Tesla,Tesla,21/04/2020,17,23,0.8
TLF007,574,Tarentaal,30/03/2020,F,IB,NA,1432,47.3,5,27/01/2016,1524,50.4,2,13,1,2,S,4,0.5,Tesla,Tesla,21/04/2020,19,23,0.8
BAM001,573,Bateleur,30/03/2020,M,IB,Death,1332,44,3,28/04/2017,1067,35.3,1,1,1,2,S,4,0.5,Tesla,Tesla,24/04/2020,26,26,0.9
GEF001,563,Geelvink,23/02/2020,F,NB,NA,1468,48.5,3,14/06/2014,2080,68.8,1,4,1,2,S,4,0.5,G11,Bennett,24/04/2020,40,62,2
GEM003,563,Geelvink,23/02/2020,M,NB,NA,1468,48.5,3,14/06/2014,2080,68.8,1,4,1,2,S,4,0.5,G11,Bennett,24/04/2020,37,62,2
KBM002,557,Kori,14/02/2020,M,NB,Death,1118,37,4,03/03/2017,1078,35.6,1,9,1,2,S,4,0.5,Cousteau,Aristotle,24/04/2020,40,71,2.3
TLF005,574,Tarentaal,30/03/2020,F,IB,NA,1432,47.3,5,27/01/2016,1524,50.4,2,13,1,2,S,4,0.5,Tesla,Tesla,24/04/2020,19,26,0.9
TLF007,574,Tarentaal,30/03/2020,F,IB,NA,1432,47.3,5,27/01/2016,1524,50.4,2,13,1,2,S,4,0.5,Tesla,Tesla,24/04/2020,21,26,0.9
TNF003,560,Tinktinkie,17/02/2020,F,IB,Death,1435,47.4,6,05/10/2017,865,28.6,1,14,1,2,S,4,0.5,Mandela,Mandela,24/04/2020,44,68,2.2
BAM001,573,Bateleur,30/03/2020,M,IB,Death,1332,44,3,28/04/2017,1067,35.3,1,1,1,2,S,4,0.5,Tesla,Tesla,02/05/2020,32,34,1.1
GEF001,563,Geelvink,23/02/2020,F,NB,NA,1468,48.5,3,14/06/2014,2080,68.8,1,4,1,2,S,4,0.5,G11,Bennett,02/05/2020,44,70,2.3
GEM003,563,Geelvink,23/02/2020,M,NB,NA,1468,48.5,3,14/06/2014,2080,68.8,1,4,1,2,S,4,0.5,G11,Bennett,02/05/2020,41,70,2.3
KBM002,557,Kori,14/02/2020,M,NB,Death,1118,37,4,03/03/2017,1078,35.6,1,9,1,2,S,4,0.5,Cousteau,Aristotle,02/05/2020,42,79,2.6
TLF005,574,Tarentaal,30/03/2020,F,IB,NA,1432,47.3,5,27/01/2016,1524,50.4,2,13,1,2,S,4,0.5,Tesla,Tesla,02/05/2020,23,34,1.1
TLF007,574,Tarentaal,30/03/2020,F,IB,NA,1432,47.3,5,27/01/2016,1524,50.4,2,13,1,2,S,4,0.5,Tesla,Tesla,02/05/2020,24,34,1.1
TNF003,560,Tinktinkie,17/02/2020,F,IB,Death,1435,47.4,6,05/10/2017,865,28.6,1,14,1,2,S,4,0.5,Mandela,Mandela,02/05/2020,44,76,2.5
BAM001,573,Bateleur,30/03/2020,M,IB,Death,1332,44,3,28/04/2017,1067,35.3,1,1,1,2,S,4,0.5,Tesla,Tesla,08/05/2020,37,40,1.3
GEF001,563,Geelvink,23/02/2020,F,NB,NA,1468,48.5,3,14/06/2014,2080,68.8,1,4,1,2,S,4,0.5,G11,Bennett,08/05/2020,45,76,2.5
GEM003,563,Geelvink,23/02/2020,M,NB,NA,1468,48.5,3,14/06/2014,2080,68.8,1,4,1,2,S,4,0.5,G11,Bennett,08/05/2020,42,76,2.5
KBM002,557,Kori,14/02/2020,M,NB,Death,1118,37,4,03/03/2017,1078,35.6,1,9,1,2,S,4,0.5,Cousteau,Aristotle,08/05/2020,44,85,2.8
TLF005,574,Tarentaal,30/03/2020,F,IB,NA,1432,47.3,5,27/01/2016,1524,50.4,2,13,1,2,S,4,0.5,Tesla,Tesla,08/05/2020,26,40,1.3
TLF007,574,Tarentaal,30/03/2020,F,IB,NA,1432,47.3,5,27/01/2016,1524,50.4,2,13,1,2,S,4,0.5,Tesla,Tesla,08/05/2020,27,40,1.3
TNF003,560,Tinktinkie,17/02/2020,F,IB,Death,1435,47.4,6,05/10/2017,865,28.6,1,14,1,2,S,4,0.5,Mandela,Mandela,08/05/2020,47,82,2.7
BAM001,573,Bateleur,30/03/2020,M,IB,Death,1332,44,3,28/04/2017,1067,35.3,1,1,1,2,S,4,0.5,Tesla,Tesla,15/05/2020,40,47,1.6
GEF001,563,Geelvink,23/02/2020,F,NB,NA,1468,48.5,3,14/06/2014,2080,68.8,1,4,1,2,S,4,0.5,G11,Bennett,15/05/2020,47,83,2.7
GEM003,563,Geelvink,23/02/2020,M,NB,NA,1468,48.5,3,14/06/2014,2080,68.8,1,4,1,2,S,4,0.5,G11,Bennett,15/05/2020,46,83,2.7
TLF005,574,Tarentaal,30/03/2020,F,IB,NA,1432,47.3,5,27/01/2016,1524,50.4,2,13,1,2,S,4,0.5,Tesla,Tesla,15/05/2020,27,47,1.6
TLF007,574,Tarentaal,30/03/2020,F,IB,NA,1432,47.3,5,27/01/2016,1524,50.4,2,13,1,2,S,4,0.5,Tesla,Tesla,15/05/2020,28,47,1.6
TNF003,560,Tinktinkie,17/02/2020,F,IB,Death,1435,47.4,6,05/10/2017,865,28.6,1,14,1,2,S,4,0.5,Mandela,Mandela,15/05/2020,53,89,2.9
KBM002,557,Kori,14/02/2020,M,NB,Death,1118,37,4,03/03/2017,1078,35.6,1,9,1,2,S,4,0.5,Cousteau,Aristotle,20/05/2020,39,97,3.2
BAM001,573,Bateleur,30/03/2020,M,IB,Death,1332,44,3,28/04/2017,1067,35.3,1,1,1,2,S,4,0.5,Tesla,Tesla,21/05/2020,40,53,1.8
GEF001,563,Geelvink,23/02/2020,F,NB,NA,1468,48.5,3,14/06/2014,2080,68.8,1,4,1,2,S,4,0.5,G11,Bennett,21/05/2020,43,89,2.9
GEM003,563,Geelvink,23/02/2020,M,NB,NA,1468,48.5,3,14/06/2014,2080,68.8,1,4,1,2,S,4,0.5,G11,Bennett,21/05/2020,36,89,2.9
TNF003,560,Tinktinkie,17/02/2020,F,IB,Death,1435,47.4,6,05/10/2017,865,28.6,1,14,1,2,S,4,0.5,Mandela,Mandela,21/05/2020,53,95,3.1
BAM001,573,Bateleur,30/03/2020,M,IB,Death,1332,44,3,28/04/2017,1067,35.3,1,1,1,2,S,4,0.5,Tesla,Tesla,23/05/2020,37,55,1.8
GEF001,563,Geelvink,23/02/2020,F,NB,NA,1468,48.5,3,14/06/2014,2080,68.8,1,4,1,2,S,4,0.5,G11,Bennett,23/05/2020,39,91,3
GEM003,563,Geelvink,23/02/2020,M,NB,NA,1468,48.5,3,14/06/2014,2080,68.8,1,4,1,2,S,4,0.5,G11,Bennett,23/05/2020,35,91,3
KBM002,557,Kori,14/02/2020,M,NB,Death,1118,37,4,03/03/2017,1078,35.6,1,9,1,2,S,4,0.5,Cousteau,Aristotle,23/05/2020,41,100,3.3
TLF005,574,Tarentaal,30/03/2020,F,IB,NA,1432,47.3,5,27/01/2016,1524,50.4,2,13,1,2,S,4,0.5,Tesla,Tesla,23/05/2020,26,55,1.8
TLF007,574,Tarentaal,30/03/2020,F,IB,NA,1432,47.3,5,27/01/2016,1524,50.4,2,13,1,2,S,4,0.5,Tesla,Tesla,23/05/2020,28,55,1.8
TNF003,560,Tinktinkie,17/02/2020,F,IB,Death,1435,47.4,6,05/10/2017,865,28.6,1,14,1,2,S,4,0.5,Mandela,Mandela,23/05/2020,48,97,3.2
TNF003,560,Tinktinkie,17/02/2020,F,IB,Death,1435,47.4,6,05/10/2017,865,28.6,1,14,1,2,S,4,0.5,Mandela,Mandela,28/05/2020,40,102,3.4
BAM001,573,Bateleur,30/03/2020,M,IB,Death,1332,44,3,28/04/2017,1067,35.3,1,1,1,2,S,4,0.5,Tesla,Tesla,29/05/2020,34,61,2
GEF001,563,Geelvink,23/02/2020,F,NB,NA,1468,48.5,3,14/06/2014,2080,68.8,1,4,1,2,S,4,0.5,G11,Bennett,29/05/2020,35,97,3.2
GEM003,563,Geelvink,23/02/2020,M,NB,NA,1468,48.5,3,14/06/2014,2080,68.8,1,4,1,2,S,4,0.5,G11,Bennett,29/05/2020,34,97,3.2
TLF005,574,Tarentaal,30/03/2020,F,IB,NA,1432,47.3,5,27/01/2016,1524,50.4,2,13,1,2,S,4,0.5,Tesla,Tesla,29/05/2020,28,61,2
TLF007,574,Tarentaal,30/03/2020,F,IB,NA,1432,47.3,5,27/01/2016,1524,50.4,2,13,1,2,S,4,0.5,Tesla,Tesla,29/05/2020,27,61,2
TNF003,560,Tinktinkie,17/02/2020,F,IB,Death,1435,47.4,6,05/10/2017,865,28.6,1,14,1,2,S,4,0.5,Mandela,Mandela,29/05/2020,39,103,3.4
VLM001,585,Vulture,18/05/2020,M,NB,NA,1383,45.7,3,16/09/2016,1340,44.3,1,16,1,2,S,4,0.5,West,Hawking,30/05/2020,13,13,0.4
VLM002,585,Vulture,18/05/2020,M,NB,NA,1383,45.7,3,16/09/2016,1340,44.3,1,16,1,2,S,4,0.5,West,Hawking,30/05/2020,13,13,0.4
VLM003,585,Vulture,18/05/2020,M,NB,NA,1383,45.7,3,16/09/2016,1340,44.3,1,16,1,2,S,4,0.5,West,Hawking,30/05/2020,17,13,0.4
VLM001,585,Vulture,18/05/2020,M,NB,NA,1383,45.7,3,16/09/2016,1340,44.3,1,16,1,2,S,4,0.5,West,Hawking,01/06/2020,14,15,0.5
VLM002,585,Vulture,18/05/2020,M,NB,NA,1383,45.7,3,16/09/2016,1340,44.3,1,16,1,2,S,4,0.5,West,Hawking,01/06/2020,14,15,0.5
VLM003,585,Vulture,18/05/2020,M,NB,NA,1383,45.7,3,16/09/2016,1340,44.3,1,16,1,2,S,4,0.5,West,Hawking,01/06/2020,18,15,0.5
KBM002,557,Kori,14/02/2020,M,NB,Death,1118,37,4,03/03/2017,1078,35.6,1,9,1,2,S,4,0.5,Cousteau,Aristotle,03/06/2020,39,111,3.7
BAM001,573,Bateleur,30/03/2020,M,IB,Death,1332,44,3,28/04/2017,1067,35.3,1,1,1,2,S,4,0.5,Tesla,Tesla,05/06/2020,31,68,2.2
GEF001,563,Geelvink,23/02/2020,F,NB,NA,1468,48.5,3,14/06/2014,2080,68.8,1,4,1,2,S,4,0.5,G11,Bennett,05/06/2020,35,104,3.4
VLM001,585,Vulture,18/05/2020,M,NB,NA,1383,45.7,3,16/09/2016,1340,44.3,1,16,1,2,S,4,0.5,West,Hawking,05/06/2020,16,19,0.6
VLM002,585,Vulture,18/05/2020,M,NB,NA,1383,45.7,3,16/09/2016,1340,44.3,1,16,1,2,S,4,0.5,West,Hawking,05/06/2020,16,19,0.6
VLM003,585,Vulture,18/05/2020,M,NB,NA,1383,45.7,3,16/09/2016,1340,44.3,1,16,1,2,S,4,0.5,West,Hawking,05/06/2020,19,19,0.6
TLF005,574,Tarentaal,30/03/2020,F,IB,NA,1432,47.3,5,27/01/2016,1524,50.4,2,13,1,2,S,4,0.5,Tesla,Tesla,08/06/2020,31,71,2.3
TLF007,574,Tarentaal,30/03/2020,F,IB,NA,1432,47.3,5,27/01/2016,1524,50.4,2,13,1,2,S,4,0.5,Tesla,Tesla,08/06/2020,33,71,2.3
BAM001,573,Bateleur,30/03/2020,M,IB,Death,1332,44,3,28/04/2017,1067,35.3,1,1,1,2,S,4,0.5,Tesla,Tesla,13/06/2020,29,76,2.5
GEF001,563,Geelvink,23/02/2020,F,NB,NA,1468,48.5,3,14/06/2014,2080,68.8,1,4,1,2,S,4,0.5,G11,Bennett,13/06/2020,39,112,3.7
GEM003,563,Geelvink,23/02/2020,M,NB,NA,1468,48.5,3,14/06/2014,2080,68.8,1,4,1,2,S,4,0.5,G11,Bennett,13/06/2020,38,112,3.7
TLF005,574,Tarentaal,30/03/2020,F,IB,NA,1432,47.3,5,27/01/2016,1524,50.4,2,13,1,2,S,4,0.5,Tesla,Tesla,13/06/2020,33,76,2.5
TLF007,574,Tarentaal,30/03/2020,F,IB,NA,1432,47.3,5,27/01/2016,1524,50.4,2,13,1,2,S,4,0.5,Tesla,Tesla,13/06/2020,34,76,2.5
VLM001,585,Vulture,18/05/2020,M,NB,NA,1383,45.7,3,16/09/2016,1340,44.3,1,16,1,2,S,4,0.5,West,Hawking,13/06/2020,19,27,0.9
VLM002,585,Vulture,18/05/2020,M,NB,NA,1383,45.7,3,16/09/2016,1340,44.3,1,16,1,2,S,4,0.5,West,Hawking,13/06/2020,18,27,0.9
VLM003,585,Vulture,18/05/2020,M,NB,NA,1383,45.7,3,16/09/2016,1340,44.3,1,16,1,2,S,4,0.5,West,Hawking,13/06/2020,22,27,0.9
GEF001,563,Geelvink,23/02/2020,F,NB,NA,1468,48.5,3,14/06/2014,2080,68.8,1,4,1,2,S,4,0.5,G11,Bennett,15/06/2020,41,114,3.8
GEM003,563,Geelvink,23/02/2020,M,NB,NA,1468,48.5,3,14/06/2014,2080,68.8,1,4,1,2,S,4,0.5,G11,Bennett,15/06/2020,40,114,3.8
TNF003,560,Tinktinkie,17/02/2020,F,IB,Death,1435,47.4,6,05/10/2017,865,28.6,1,14,1,2,S,4,0.5,Mandela,Mandela,15/06/2020,48,120,4
BAM001,573,Bateleur,30/03/2020,M,IB,Death,1332,44,3,28/04/2017,1067,35.3,1,1,1,2,S,4,0.5,Tesla,Tesla,18/06/2020,33,81,2.7
KBM002,557,Kori,14/02/2020,M,NB,Death,1118,37,4,03/03/2017,1078,35.6,1,9,1,2,S,4,0.5,Cousteau,Aristotle,18/06/2020,42,126,4.2
TLF005,574,Tarentaal,30/03/2020,F,IB,NA,1432,47.3,5,27/01/2016,1524,50.4,2,13,1,2,S,4,0.5,Tesla,Tesla,18/06/2020,37,81,2.7
TLF007,574,Tarentaal,30/03/2020,F,IB,NA,1432,47.3,5,27/01/2016,1524,50.4,2,13,1,2,S,4,0.5,Tesla,Tesla,18/06/2020,39,81,2.7
VLM001,585,Vulture,18/05/2020,M,NB,NA,1383,45.7,3,16/09/2016,1340,44.3,1,16,1,2,S,4,0.5,West,Hawking,18/06/2020,22,32,1.1
VLM003,585,Vulture,18/05/2020,M,NB,NA,1383,45.7,3,16/09/2016,1340,44.3,1,16,1,2,S,4,0.5,West,Hawking,18/06/2020,21,32,1.1
TEM003,587,Tit-Babbler,08/06/2020,M,IB,NA,1362,45,3,15/11/2015,1667,55.1,1,15,1,2,S,4,0.5,Crick,Crick,19/06/2020,12,12,0.4
BAM001,573,Bateleur,30/03/2020,M,IB,Death,1332,44,3,28/04/2017,1067,35.3,1,1,1,2,S,4,0.5,Tesla,Tesla,26/06/2020,34,89,2.9
GEF001,563,Geelvink,23/02/2020,F,NB,NA,1468,48.5,3,14/06/2014,2080,68.8,1,4,1,2,S,4,0.5,G11,Bennett,26/06/2020,45,125,4.1
GEM003,563,Geelvink,23/02/2020,M,NB,NA,1468,48.5,3,14/06/2014,2080,68.8,1,4,1,2,S,4,0.5,G11,Bennett,26/06/2020,46,125,4.1
MBF003,586,Marabou,09/06/2020,F,NB,StatusChange,969,32,3,28/06/2016,1442,47.7,1,10,1,2,S,4,0.5,Durrell,Moniz,26/06/2020,16,18,0.6
TEM002,587,Tit-Babbler,08/06/2020,M,IB,NA,1362,45,3,15/11/2015,1667,55.1,1,15,1,2,S,4,0.5,Crick,Crick,26/06/2020,17,19,0.6
TEM003,587,Tit-Babbler,08/06/2020,M,IB,NA,1362,45,3,15/11/2015,1667,55.1,1,15,1,2,S,4,0.5,Crick,Crick,26/06/2020,15,19,0.6
TLF005,574,Tarentaal,30/03/2020,F,IB,NA,1432,47.3,5,27/01/2016,1524,50.4,2,13,1,2,S,4,0.5,Tesla,Tesla,26/06/2020,40,89,2.9
TLF007,574,Tarentaal,30/03/2020,F,IB,NA,1432,47.3,5,27/01/2016,1524,50.4,2,13,1,2,S,4,0.5,Tesla,Tesla,26/06/2020,42,89,2.9
VLM001,585,Vulture,18/05/2020,M,NB,NA,1383,45.7,3,16/09/2016,1340,44.3,1,16,1,2,S,4,0.5,West,Hawking,26/06/2020,28,40,1.3
VLM002,585,Vulture,18/05/2020,M,NB,NA,1383,45.7,3,16/09/2016,1340,44.3,1,16,1,2,S,4,0.5,West,Hawking,26/06/2020,26,40,1.3
VLM003,585,Vulture,18/05/2020,M,NB,NA,1383,45.7,3,16/09/2016,1340,44.3,1,16,1,2,S,4,0.5,West,Hawking,26/06/2020,28,40,1.3
BAM001,573,Bateleur,30/03/2020,M,IB,Death,1332,44,3,28/04/2017,1067,35.3,1,1,1,2,S,4,0.5,Tesla,Tesla,01/07/2020,34,94,3.1
GEF001,563,Geelvink,23/02/2020,F,NB,NA,1468,48.5,3,14/06/2014,2080,68.8,1,4,1,2,S,4,0.5,G11,Bennett,01/07/2020,50,130,4.3
GEM003,563,Geelvink,23/02/2020,M,NB,NA,1468,48.5,3,14/06/2014,2080,68.8,1,4,1,2,S,4,0.5,G11,Bennett,01/07/2020,50,130,4.3
KBM002,557,Kori,14/02/2020,M,NB,Death,1118,37,4,03/03/2017,1078,35.6,1,9,1,2,S,4,0.5,Cousteau,Aristotle,01/07/2020,47,139,4.6
TLF005,574,Tarentaal,30/03/2020,F,IB,NA,1432,47.3,5,27/01/2016,1524,50.4,2,13,1,2,S,4,0.5,Tesla,Tesla,01/07/2020,44,94,3.1
TLF007,574,Tarentaal,30/03/2020,F,IB,NA,1432,47.3,5,27/01/2016,1524,50.4,2,13,1,2,S,4,0.5,Tesla,Tesla,01/07/2020,42,94,3.1
TNF003,560,Tinktinkie,17/02/2020,F,IB,Death,1435,47.4,6,05/10/2017,865,28.6,1,14,1,2,S,4,0.5,Mandela,Mandela,01/07/2020,52,136,4.5
BAM001,573,Bateleur,30/03/2020,M,IB,Death,1332,44,3,28/04/2017,1067,35.3,1,1,1,2,S,4,0.5,Tesla,Tesla,04/07/2020,35,97,3.2
KSF001,588,Kapantsi,11/06/2020,F,NB,NA,1359,44.9,3,11/08/2016,1400,46.3,1,8,1,2,S,4,0.5,Moniz,Nakuru,04/07/2020,17,24,0.8
MBF003,586,Marabou,09/06/2020,F,NB,StatusChange,969,32,3,28/06/2016,1442,47.7,1,10,1,2,S,4,0.5,Durrell,Moniz,04/07/2020,21,26,0.9
TEM002,587,Tit-Babbler,08/06/2020,M,IB,NA,1362,45,3,15/11/2015,1667,55.1,1,15,1,2,S,4,0.5,Crick,Crick,04/07/2020,22,27,0.9
TEM003,587,Tit-Babbler,08/06/2020,M,IB,NA,1362,45,3,15/11/2015,1667,55.1,1,15,1,2,S,4,0.5,Crick,Crick,04/07/2020,18,27,0.9
TLF005,574,Tarentaal,30/03/2020,F,IB,NA,1432,47.3,5,27/01/2016,1524,50.4,2,13,1,2,S,4,0.5,Tesla,Tesla,04/07/2020,44,97,3.2
TLF007,574,Tarentaal,30/03/2020,F,IB,NA,1432,47.3,5,27/01/2016,1524,50.4,2,13,1,2,S,4,0.5,Tesla,Tesla,04/07/2020,39,97,3.2
VLM001,585,Vulture,18/05/2020,M,NB,NA,1383,45.7,3,16/09/2016,1340,44.3,1,16,1,2,S,4,0.5,West,Hawking,04/07/2020,32,48,1.6
