LitterRef,AnimalID,Colony,DateOfBirth,Sex,Treatment,Outcome,Cause,Time,Censorship_D,Mnths,LitterSize,Mat.Birthdate,Mat.Age,Mother,Sur30,GroupSize,Density
959,SNF038,Sneeubal,12/01/2024,F,Inbred,NA,NA,49,0,1.6,4,15/11/2015,2980,12,1,26,1.6
560,TNF003,Tinktinkie,17/02/2020,F,Inbred,Death,Euth,1435,0,47.4,6,05/10/2017,865,14,1,2,0.5
573,BAM001,Bateleur,30/03/2020,M,Inbred,Death,Euth,1332,0,44,3,28/04/2017,1067,1,1,2,0.5
713,SNM013,Sneeubal,19/08/2021,M,Inbred,NA,NA,925,0,30.6,3,15/11/2015,2104,12,1,5,0.6
737,SNM014,Sneeubal,02/12/2021,M,Inbred,NA,NA,820,0,27.1,4,15/11/2015,2209,12,1,8,1
737,SNM015,Sneeubal,02/12/2021,M,Inbred,NA,NA,820,0,27.1,4,15/11/2015,2209,12,1,8,1
770,SNM018,Sneeubal,24/03/2022,M,Inbred,NA,NA,708,0,23.4,2,15/11/2015,2321,12,1,12,1.5
799,SNM021,Sneeubal,13/07/2022,M,Inbred,NA,NA,597,0,19.7,4,15/11/2015,2432,12,1,13,1.6
834,SNM025,Sneeubal,17/11/2022,M,Inbred,NA,NA,470,0,15.5,4,15/11/2015,2559,12,1,17,1.1
834,SNM026,Sneeubal,17/11/2022,M,Inbred,NA,NA,470,0,15.5,4,15/11/2015,2559,12,1,17,1.1
871,SNM028,Sneeubal,04/03/2023,M,Inbred,NA,NA,363,0,12,3,15/11/2015,2666,12,1,19,1.2
930,SNM035,Sneeubal,29/09/2023,M,Inbred,NA,NA,154,0,5.1,4,15/11/2015,2875,12,1,23,1.4
959,SNM036,Sneeubal,12/01/2024,M,Inbred,NA,NA,49,0,1.6,4,15/11/2015,2980,12,1,26,1.6
911,TEF018,Tit-Babbler,08/08/2023,F,Inbred,,,206,0,6.8,3,15/11/2015,2823,15,1,11,1.4
911,TEF019,Tit-Babbler,08/08/2023,F,Inbred,,,206,0,6.8,3,15/11/2015,2823,15,1,11,1.4
902,HOM005,Hoopoe,23/06/2023,M,Inbred,Death,Euth,118,0,3.9,2,24/02/2017,2310,6,1,2,0.5
902,HOM006,Hoopoe,23/06/2023,M,Inbred,Death,Euth,118,0,3.9,2,24/02/2017,2310,6,1,2,0.5
618,TEM004,Tit-Babbler,04/10/2020,M,Inbred,NA,NA,1244,0,41.1,3,15/11/2015,1785,15,1,4,1
659,TEM007,Tit-Babbler,25/01/2021,M,Inbred,NA,NA,1131,0,37.4,2,15/11/2015,1898,15,1,5,1.3
659,TEM008,Tit-Babbler,25/01/2021,M,Inbred,NA,NA,1131,0,37.4,2,15/11/2015,1898,15,1,5,1.3
763,TEM013,Tit-Babbler,18/02/2022,M,Inbred,NA,NA,742,0,24.5,2,15/11/2015,2287,15,1,7,0.9
853,TEM016,Tit-Babbler,08/01/2023,M,Inbred,NA,NA,418,0,13.8,2,15/11/2015,2611,15,1,8,1
853,TEM017,Tit-Babbler,08/01/2023,M,Inbred,NA,NA,418,0,13.8,2,15/11/2015,2611,15,1,8,1
960,TEM021,Tit-Babbler,16/01/2024,M,Inbred,,,45,0,1.5,1,15/11/2015,2984,15,1,13,1.6
632,HOM001,Hoopoe,10/11/2020,M,Inbred,Death,Artificial,1037,0,34.3,1,24/02/2017,1355,6,1,2,0.5
593,PIF002,Pigeon,28/06/2020,F,Inbred,Death,Natural,182,1,6,2,26/03/2016,1555,11,1,2,0.5
654,TLF010,Tarentaal,06/01/2021,F,Inbred,NA,NA,1150,0,38,5,27/01/2016,1806,13,1,4,1
654,TLF012,Tarentaal,06/01/2021,F,Inbred,NA,NA,1150,0,38,5,27/01/2016,1806,13,1,4,1
654,TLF013,Tarentaal,06/01/2021,F,Inbred,NA,NA,1150,0,38,5,27/01/2016,1806,13,1,4,1
740,TLF018,Tarentaal,12/12/2021,F,Inbred,NA,NA,810,0,26.8,5,27/01/2016,2146,13,1,10,1.3
740,TLF022,Tarentaal,12/12/2021,F,Inbred,NA,NA,810,0,26.8,5,27/01/2016,2146,13,1,10,1.3
897,TLF024,Tarentaal,11/06/2023,F,Inbred,,,264,0,8.7,4,27/01/2016,2692,13,1,13,1.6
942,TLF029,Tarentaal,01/11/2023,F,Inbred,,,121,0,4,5,27/01/2016,2835,13,1,14,1.8
654,TLM009,Tarentaal,06/01/2021,M,Inbred,NA,NA,1150,0,38,5,27/01/2016,1806,13,1,4,1
691,TLM016,Tarentaal,20/05/2021,M,Inbred,NA,NA,1016,0,33.6,4,27/01/2016,1940,13,1,8,1
740,TLM019,Tarentaal,12/12/2021,M,Inbred,NA,NA,810,0,26.8,5,27/01/2016,2146,13,1,10,1.3
574,TLM008,Tarentaal,30/03/2020,M,Inbred,Death,Natural,90,1,3,5,27/01/2016,1524,13,1,2,0.5
587,TEF001,Tit-Babbler,08/06/2020,F,Inbred,Death,Natural,10,1,0.3,3,15/11/2015,1667,15,0,2,0.5
573,BAF003,Bateleur,30/03/2020,F,Inbred,Death,Natural,64,1,2.1,3,28/04/2017,1067,1,1,2,0.5
942,TLM028,Tarentaal,01/11/2023,M,Inbred,Death,Natural,112,1,3.7,5,27/01/2016,2835,13,1,14,1.8
963,PIM029,Pigeon,22/01/2024,M,Inbred,Death,Natural,26,1,0.9,4,26/03/2016,2858,11,0,17,2.1
959,SNM037,Sneeubal,12/01/2024,M,Inbred,Death,Natural,36,1,1.2,4,15/11/2015,2980,12,1,26,1.6
962,BIF023,Bishop,22/01/2024,F,Inbred,Death,Natural,19,1,0.6,3,13/02/2018,2169,2,0,15,1.9
962,BIM022,Bishop,22/01/2024,M,Inbred,Death,Natural,19,1,0.6,3,13/02/2018,2169,2,0,15,1.9
959,SNM039,Sneeubal,12/01/2024,M,Inbred,Death,Natural,29,1,1,4,15/11/2015,2980,12,0,26,1.6
691,TLM015,Tarentaal,20/05/2021,M,Inbred,Death,Natural,982,1,32.5,4,27/01/2016,1940,13,1,8,1
962,BIM024,Bishop,22/01/2024,M,Inbred,Death,Natural,1,1,0,3,13/02/2018,2169,2,0,15,1.9
930,SNF034,Sneeubal,29/09/2023,F,Inbred,Death,Natural,116,0,3.8,4,15/11/2015,2875,12,1,23,1.4
573,BAM002,Bateleur,30/03/2020,M,Inbred,Death,Artificial,64,0,2.1,3,28/04/2017,1067,1,1,2,0.5
648,TNF011,Tinktinkie,13/12/2020,F,Inbred,Death,Euth,1135,0,37.5,4,05/10/2017,1165,14,1,4,1
696,TNF015,Tinktinkie,01/06/2021,F,Inbred,Death,Euth,965,0,31.9,4,05/10/2017,1335,14,1,6,0.8
696,TNF016,Tinktinkie,01/06/2021,F,Inbred,Death,Euth,965,0,31.9,4,05/10/2017,1335,14,1,6,0.8
696,TNF018,Tinktinkie,01/06/2021,F,Inbred,Death,Euth,965,0,31.9,4,05/10/2017,1335,14,1,6,0.8
599,TNM009,Tinktinkie,04/08/2020,M,Inbred,Death,Euth,1266,0,41.9,3,05/10/2017,1034,14,1,3,0.8
648,TNM012,Tinktinkie,13/12/2020,M,Inbred,Death,Euth,1135,0,37.5,4,05/10/2017,1165,14,1,4,1
696,TNM017,Tinktinkie,01/06/2021,M,Inbred,Death,Euth,965,0,31.9,4,05/10/2017,1335,14,1,6,0.8
871,SNF029,Sneeubal,04/03/2023,F,Inbred,Death,Natural,316,1,10.4,3,15/11/2015,2666,12,1,19,1.2
942,TLM031,Tarentaal,01/11/2023,M,Inbred,Death,Natural,40,1,1.3,5,27/01/2016,2835,13,0,14,1.8
942,TLF030,Tarentaal,01/11/2023,F,Inbred,Death,Natural,31,1,1,5,27/01/2016,2835,13,0,14,1.8
942,TLF032,Tarentaal,01/11/2023,F,Inbred,Death,Natural,31,1,1,5,27/01/2016,2835,13,0,14,1.8
615,BAF005,Bateleur,09/09/2020,F,Inbred,NA,NA,1169,0,38.6,2,28/04/2017,1230,1,1,3,0.8
560,TNF001,Tinktinkie,17/02/2020,F,Inbred,Death,Natural,100,1,3.3,6,05/10/2017,865,14,1,2,0.5
911,TEM020,Tit-Babbler,08/08/2023,M,Inbred,Death,Natural,77,1,2.5,3,15/11/2015,2823,15,1,11,1.4
574,TLM004,Tarentaal,30/03/2020,M,Inbred,Death,Natural,10,1,0.3,5,27/01/2016,1524,13,0,2,0.5
574,TLF006,Tarentaal,30/03/2020,F,Inbred,Death,Natural,5,1,0.2,5,27/01/2016,1524,13,0,2,0.5
901,SNM031,Sneeubal,20/06/2023,M,Inbred,Death,Natural,116,1,3.8,1,15/11/2015,2774,12,1,22,1.4
931,BIM019,Bishop,04/10/2023,M,Inbred,Death,Natural,7,1,0.2,3,13/02/2018,2059,2,0,15,1.9
931,BIM020,Bishop,04/10/2023,M,Inbred,Death,Natural,7,1,0.2,3,13/02/2018,2059,2,0,15,1.9
931,BIU021,Bishop,04/10/2023,U,Inbred,Death,Natural,6,1,0.2,3,13/02/2018,2059,2,0,15,1.9
857,PIM022,Pigeon,14/01/2023,M,Inbred,Death,Artificial,245,0,8.1,2,26/03/2016,2485,11,1,15,1.9
560,TNF006,Tinktinkie,17/02/2020,F,Inbred,Death,Natural,10,1,0.3,6,05/10/2017,865,14,0,2,0.5
897,TLF027,Tarentaal,11/06/2023,F,Inbred,Death,Natural,4,1,0.1,4,27/01/2016,2692,13,0,13,1.6
897,TLM025,Tarentaal,11/06/2023,M,Inbred,Death,Natural,4,1,0.1,4,27/01/2016,2692,13,0,13,1.6
897,TLM026,Tarentaal,11/06/2023,M,Inbred,Death,Natural,4,1,0.1,4,27/01/2016,2692,13,0,13,1.6
826,PIM021,Pigeon,06/10/2022,M,Inbred,Death,Artificial,241,0,8,1,26/03/2016,2385,11,1,14,1.8
665,BIM004,Bishop,11/02/2021,M,Inbred,Death,Artificial,770,0,25.5,3,13/02/2018,1094,2,1,3,0.8
845,BIF013,Bishop,28/12/2022,F,Inbred,Death,Natural,83,1,2.7,3,13/02/2018,1779,2,1,13,1.6
560,TNM002,Tinktinkie,17/02/2020,M,Inbred,Death,Natural,10,1,0.3,6,05/10/2017,865,14,0,2,0.5
560,TNM004,Tinktinkie,17/02/2020,M,Inbred,Death,Natural,10,1,0.3,6,05/10/2017,865,14,0,2,0.5
834,SNM027,Sneeubal,17/11/2022,M,Inbred,Death,Artificial,58,0,1.9,4,15/11/2015,2559,12,1,17,1.1
792,TLM023,Tarentaal,13/06/2022,M,Inbred,Death,Artificial,205,0,6.8,1,27/01/2016,2329,13,1,13,1.6
845,BIF014,Bishop,28/12/2022,F,Inbred,Death,Natural,5,1,0.2,3,13/02/2018,1779,2,0,13,1.6
845,BIM015,Bishop,28/12/2022,M,Inbred,Death,Natural,3,1,0.1,3,13/02/2018,1779,2,0,13,1.6
799,SNM022,Sneeubal,13/07/2022,M,Inbred,Death,Artificial,140,0,4.6,4,15/11/2015,2432,12,1,13,1.6
820,TEM015,Tit-Babbler,26/09/2022,M,Inbred,Death,Natural,12,1,0.4,1,15/11/2015,2507,15,0,9,1.1
615,BAF004,Bateleur,09/09/2020,F,Inbred,StatusChange,Eviction,740,0,24.5,2,28/04/2017,1230,1,1,3,0.8
809,BIF011,Bishop,07/09/2022,F,Inbred,Death,Natural,8,1,0.3,3,13/02/2018,1667,2,0,13,1.6
809,BIM010,Bishop,07/09/2022,M,Inbred,Death,Natural,7,1,0.2,3,13/02/2018,1667,2,0,13,1.6
813,HOF004,Hoopoe,12/09/2022,F,Inbred,Death,Natural,1,1,0,1,24/02/2017,2026,6,0,3,0.8
809,BIM012,Bishop,07/09/2022,M,Inbred,Death,Natural,5,1,0.2,3,13/02/2018,1667,2,0,13,1.6
790,HOU002,Hoopoe,01/06/2022,U,Inbred,Death,Natural,1,1,0,2,24/02/2017,1923,6,0,3,0.8
790,HOU003,Hoopoe,01/06/2022,U,Inbred,Death,Natural,1,1,0,2,24/02/2017,1923,6,0,3,0.8
713,SNM011,Sneeubal,19/08/2021,M,Inbred,Death,Artificial,258,0,8.5,3,15/11/2015,2104,12,1,5,0.6
772,PIF018,Pigeon,08/04/2022,F,Inbred,Death,Natural,15,1,0.5,5,26/03/2016,2204,11,0,10,1.3
772,PIF020,Pigeon,08/04/2022,F,Inbred,Death,Natural,15,1,0.5,5,26/03/2016,2204,11,0,10,1.3
772,PIM016,Pigeon,08/04/2022,M,Inbred,Death,Natural,11,1,0.4,5,26/03/2016,2204,11,0,10,1.3
763,TEF014,Tit-Babbler,18/02/2022,F,Inbred,Death,Natural,34,1,1.1,2,15/11/2015,2287,15,1,7,0.9
740,TLM021,Tarentaal,12/12/2021,M,Inbred,Death,Natural,30,1,1,5,27/01/2016,2146,13,0,10,1.3
748,PIF015,Pigeon,26/12/2021,F,Inbred,Death,Natural,1,1,0,1,26/03/2016,2101,11,0,10,1.3
740,TLF020,Tarentaal,12/12/2021,F,Inbred,Death,Natural,12,1,0.4,5,27/01/2016,2146,13,0,10,1.3
663,PIM005,Pigeon,27/01/2021,M,Inbred,Death,Artificial,259,0,8.6,4,26/03/2016,1768,11,1,5,1.3
560,TNM005,Tinktinkie,17/02/2020,M,Inbred,Death,Natural,10,1,0.3,6,05/10/2017,865,14,0,2,0.5
718,TEF011,Tit-Babbler,01/08/2021,F,Inbred,Death,Natural,10,1,0.3,3,15/11/2015,2086,15,0,7,0.9
718,TEF012,Tit-Babbler,01/08/2021,F,Inbred,Death,Natural,10,1,0.3,3,15/11/2015,2086,15,0,7,0.9
718,TEM010,Tit-Babbler,01/08/2021,M,Inbred,Death,Natural,10,1,0.3,3,15/11/2015,2086,15,0,7,0.9
689,PIF009,Pigeon,16/05/2021,F,Inbred,Death,Artificial,93,0,3.1,3,26/03/2016,1877,11,1,7,0.9
691,TLM017,Tarentaal,20/05/2021,M,Inbred,Death,Natural,48,1,1.6,4,27/01/2016,1940,13,1,8,1
691,TLF014,Tarentaal,20/05/2021,F,Inbred,Death,Natural,16,1,0.5,4,27/01/2016,1940,13,0,8,1
689,PIF011,Pigeon,16/05/2021,F,Inbred,Death,Natural,19,1,0.6,3,26/03/2016,1877,11,0,7,0.9
690,TEU009,Tit-Babbler,16/05/2021,U,Inbred,Death,Natural,0,1,0,1,15/11/2015,2009,15,0,7,0.9
665,BIM003,Bishop,11/02/2021,M,Inbred,Death,Artificial,88,0,2.9,3,13/02/2018,1094,2,1,3,0.8
687,SNU008,Sneeubal,04/05/2021,U,Inbred,Death,Natural,0,1,0,3,15/11/2015,1997,12,0,5,1.3
687,SNU009,Sneeubal,04/05/2021,U,Inbred,Death,Natural,0,1,0,3,15/11/2015,1997,12,0,5,1.3
687,SNU010,Sneeubal,04/05/2021,U,Inbred,Death,Natural,0,1,0,3,15/11/2015,1997,12,0,5,1.3
654,TLM011,Tarentaal,06/01/2021,M,Inbred,Death,Natural,72,1,2.4,5,27/01/2016,1806,13,1,4,1
660,SNF006,Sneeubal,25/01/2021,F,Inbred,Death,Artificial,31,0,1,4,15/11/2015,1898,12,1,5,1.3
660,SNM004,Sneeubal,25/01/2021,M,Inbred,Death,Natural,21,1,0.7,4,15/11/2015,1898,12,0,5,1.3
663,PIM008,Pigeon,27/01/2021,M,Inbred,Death,Natural,17,1,0.6,4,26/03/2016,1768,11,0,5,1.3
660,SNM005,Sneeubal,25/01/2021,M,Inbred,Death,Natural,19,1,0.6,4,15/11/2015,1898,12,0,5,1.3
663,PIM007,Pigeon,27/01/2021,M,Inbred,Death,Natural,10,1,0.3,4,26/03/2016,1768,11,0,5,1.3
648,TNF010,Tinktinkie,13/12/2020,F,Inbred,Death,Natural,55,1,1.8,4,05/10/2017,1165,14,1,4,1
648,TNM013,Tinktinkie,13/12/2020,M,Inbred,Death,Natural,54,1,1.8,4,05/10/2017,1165,14,1,4,1
660,SNU007,Sneeubal,25/01/2021,U,Inbred,Death,Natural,1,1,0,4,15/11/2015,1898,12,0,5,1.3
648,TNM014,Tinktinkie,13/12/2020,M,Inbred,Death,Natural,6,1,0.2,4,05/10/2017,1165,14,0,4,1
618,TEM005,Tit-Babbler,04/10/2020,M,Inbred,Death,Artificial,25,0,0.8,3,15/11/2015,1785,15,NA,4,1
618,TEM006,Tit-Babbler,04/10/2020,M,Inbred,Death,Natural,3,1,0.1,3,15/11/2015,1785,15,0,4,1
599,TNF008,Tinktinkie,04/08/2020,F,Inbred,Death,Natural,28,1,0.9,3,05/10/2017,1034,14,0,3,0.8
599,TNM007,Tinktinkie,04/08/2020,M,Inbred,Death,Natural,24,1,0.8,3,05/10/2017,1034,14,0,3,0.8
782,GEF005,Geelvink,21/05/2022,F,Outbred,NA,NA,650,0,21.5,3,14/06/2014,2898,4,1,4,1
782,GEF006,Geelvink,21/05/2022,F,Outbred,NA,NA,650,0,21.5,3,14/06/2014,2898,4,1,4,1
854,GEF008,Geelvink,09/01/2023,F,Outbred,NA,NA,417,0,13.8,5,14/06/2014,3131,4,1,6,0.8
854,GEF009,Geelvink,09/01/2023,F,Outbred,NA,NA,417,0,13.8,5,14/06/2014,3131,4,1,6,0.8
951,GEF014,Geelvink,11/12/2023,F,Outbred,NA,NA,81,0,2.7,4,14/06/2014,3467,4,1,11,1.38
951,GEF015,Geelvink,11/12/2023,F,Outbred,NA,NA,81,0,2.7,4,14/06/2014,3467,4,1,11,1.38
854,GEM007,Geelvink,09/01/2023,M,Outbred,NA,NA,417,0,13.8,5,14/06/2014,3131,4,1,6,0.75
854,GEM010,Geelvink,09/01/2023,M,Outbred,NA,NA,417,0,13.8,5,14/06/2014,3131,4,1,6,0.75
919,GEM012,Geelvink,24/08/2023,M,Outbred,,,190,0,6.3,1,14/06/2014,3358,4,1,10,1.25
951,GEM013,Geelvink,11/12/2023,M,Outbred,,,81,0,2.7,4,14/06/2014,3467,4,1,11,1.38
756,HCF005,Hammercobb,01/02/2022,F,Outbred,NA,NA,759,0,25.1,4,09/01/2018,1484,5,1,5,0.6
827,HCF010,Hammercobb,08/10/2022,F,Outbred,NA,NA,510,0,16.9,4,09/01/2018,1733,5,1,9,1.1
914,HCF013,Hammercobb,16/08/2023,F,Outbred,,,198,0,6.5,4,09/01/2018,2045,5,1,13,1.6
914,HCF015,Hammercobb,16/08/2023,F,Outbred,,,198,0,6.5,4,09/01/2018,2045,5,1,13,1.6
756,HCM004,Hammercobb,01/02/2022,M,Outbred,NA,NA,759,0,25.1,4,09/01/2018,1484,5,1,5,0.6
756,HCM006,Hammercobb,01/02/2022,M,Outbred,NA,NA,759,0,25.1,4,09/01/2018,1484,5,1,5,0.6
794,HCM008,Hammercobb,23/06/2022,M,Outbred,NA,NA,617,0,20.4,1,09/01/2018,1626,5,1,9,1.1
827,HCM009,Hammercobb,08/10/2022,M,Outbred,NA,NA,510,0,16.9,4,09/01/2018,1733,5,1,9,1.1
827,HCM012,Hammercobb,08/10/2022,M,Outbred,NA,NA,510,0,16.9,4,09/01/2018,1733,5,1,9,1.1
789,KSF020,Kapantsi,30/05/2022,F,Outbred,NA,NA,641,0,21.2,4,11/08/2016,2118,8,1,12,1.5
831,KSF022,Kapantsi,25/10/2022,F,Outbred,NA,NA,493,0,16.3,5,11/08/2016,2266,8,1,13,1.6
831,KSF024,Kapantsi,25/10/2022,F,Outbred,NA,NA,493,0,16.3,5,11/08/2016,2266,8,1,13,1.6
876,KSF029,Kapantsi,17/03/2023,F,Outbred,NA,NA,350,0,11.6,4,11/08/2016,2409,8,1,18,1.1
944,KSF033,Kapantsi,12/11/2023,F,Outbred,NA,NA,110,0,3.6,6,11/08/2016,2649,8,1,20,1.3
944,KSF034,Kapantsi,12/11/2023,F,Outbred,NA,NA,110,0,3.6,6,11/08/2016,2649,8,1,20,1.3
944,KSF037,Kapantsi,12/11/2023,F,Outbred,NA,NA,110,0,3.6,6,11/08/2016,2649,8,1,20,1.3
944,KSF038,Kapantsi,12/11/2023,F,Outbred,NA,NA,110,0,3.6,6,11/08/2016,2649,8,1,20,1.3
673,KSM006,Kapantsi,02/03/2021,M,Outbred,NA,NA,1095,0,36.2,3,11/08/2016,1664,8,1,5,1.3
673,KSM008,Kapantsi,02/03/2021,M,Outbred,NA,NA,1095,0,36.2,3,11/08/2016,1664,8,1,5,1.3
704,KSM009,Kapantsi,11/07/2021,M,Outbred,NA,NA,964,0,31.9,3,11/08/2016,1795,8,1,5,0.6
752,KSM012,Kapantsi,28/01/2022,M,Outbred,NA,NA,763,0,25.2,5,11/08/2016,1996,8,1,7,0.9
752,KSM014,Kapantsi,28/01/2022,M,Outbred,NA,NA,763,0,25.2,5,11/08/2016,1996,8,1,7,0.9
752,KSM016,Kapantsi,28/01/2022,M,Outbred,NA,NA,763,0,25.2,5,11/08/2016,1996,8,1,7,0.9
789,KSM017,Kapantsi,30/05/2022,M,Outbred,NA,NA,641,0,21.2,4,11/08/2016,2118,8,1,12,1.5
831,KSM021,Kapantsi,25/10/2022,M,Outbred,NA,NA,493,0,16.3,5,11/08/2016,2266,8,1,13,1.6
831,KSM025,Kapantsi,25/10/2022,M,Outbred,NA,NA,493,0,16.3,5,11/08/2016,2266,8,1,13,1.6
876,KSM026,Kapantsi,17/03/2023,M,Outbred,NA,NA,350,0,11.6,4,11/08/2016,2409,8,1,18,1.1
876,KSM027,Kapantsi,17/03/2023,M,Outbred,NA,NA,350,0,11.6,4,11/08/2016,2409,8,1,18,1.1
876,KSM028,Kapantsi,17/03/2023,M,Outbred,NA,NA,350,0,11.6,4,11/08/2016,2409,8,1,18,1.1
944,KSM035,Kapantsi,12/11/2023,M,Outbred,NA,NA,110,0,3.6,6,11/08/2016,2649,8,1,20,1.3
944,KSM036,Kapantsi,12/11/2023,M,Outbred,NA,NA,110,0,3.6,6,11/08/2016,2649,8,1,20,1.3
630,VLF005,Vulture,08/11/2020,F,Outbred,NA,NA,1209,0,40,2,16/09/2016,1514,16,1,5,1.3
779,VLF015,Vulture,14/05/2022,F,Outbred,NA,NA,657,0,21.7,3,16/09/2016,2066,16,1,13,1.6
819,VLF018,Vulture,23/09/2022,F,Outbred,NA,NA,525,0,17.4,3,16/09/2016,2198,16,1,16,1
819,VLF019,Vulture,23/09/2022,F,Outbred,NA,NA,525,0,17.4,3,16/09/2016,2198,16,1,16,1
